City,Model,model_key,MAE,RMSE,R2,Tuned
sj,Linear Regression,linear_regression,18.375569925944816,28.091672692184087,0.03434900445746636,False
sj,Ridge (L2),ridge,18.09697011871713,27.498841039305066,0.07467611118114503,False
sj,Lasso (L1),lasso,17.08488557749102,25.96855852911562,0.17479722452850932,False
sj,Elastic Net (L1+L2),elastic_net,16.991699158755033,25.97693022022024,0.17426508438095967,False
sj,Decision Tree,decision_tree,18.953777115857427,31.33164274973346,-0.2012442594764572,True
sj,Random Forest,random_forest,17.209132835815915,27.289425703737553,0.08871591492034603,True
sj,XGBoost,xgboost,17.760285721316357,27.760615791102186,0.056975047620972386,True
sj,LightGBM,lightgbm,18.758705400262716,27.42734141222963,0.07948171744629295,True
iq,Linear Regression,linear_regression,8.020325882534607,13.205817892138802,-0.11577430394921362,False
iq,Ridge (L2),ridge,8.099413278468427,13.244800559632685,-0.12237140492981458,False
iq,Lasso (L1),lasso,8.022345989487478,13.350922422989811,-0.1404291041589345,False
iq,Elastic Net (L1+L2),elastic_net,8.057954861032957,13.317724106323343,-0.13476458844729633,False
iq,Decision Tree,decision_tree,7.904907531992238,12.380927769581987,0.01926397764635901,True
iq,Random Forest,random_forest,7.622278194053833,13.23351927361201,-0.1204602549008722,True
iq,XGBoost,xgboost,7.420991043711817,12.4556358684389,0.0073924956220300375,True
iq,LightGBM,lightgbm,7.63621659370597,13.019487571559623,-0.08450992299504434,True
