Rank,Model,model_key,MAE,RMSE,R2
1,Random Forest,random_forest,13.792822756292964,23.27527617593855,0.12193834114646418
2,Elastic Net (L1+L2),elastic_net,13.808127295754627,22.305530343728627,0.1935815872649892
3,Lasso (L1),lasso,13.855417050274287,22.306328239294384,0.1935238931260005
4,XGBoost,xgboost,14.075840932888221,23.48005480330808,0.10641979287792347
5,Ridge (L2),ridge,14.534304835866074,23.43565246462027,0.10979623602235522
6,Linear Regression,linear_regression,14.6854415237351,23.876227871702035,0.07601109095872793
7,LightGBM,lightgbm,14.795166571406861,23.33652263886454,0.11731120579014143
8,Decision Tree,decision_tree,15.01647276138613,26.20064996229332,-0.11265226965829545
