City,Signal,Model,MAE,RMSE,R2
sj,Climate only,Random Forest,17.209132835815915,27.289425703737553,0.08871591492034603
sj,Climate only,XGBoost,17.760285721316357,27.760615791102186,0.056975047620972386
sj,Climate + Cases,Random Forest,6.935062202502003,11.823949434511038,0.8294166187664972
sj,Climate + Cases,XGBoost,6.713778104247718,11.226509792066958,0.8462195561688726
iq,Climate only,Random Forest,7.622278194053833,13.23351927361201,-0.1204602549008722
iq,Climate only,XGBoost,7.420991043711817,12.4556358684389,0.0073924956220300375
iq,Climate + Cases,Random Forest,5.399598990093965,8.765424929362936,0.4494186897304412
iq,Climate + Cases,XGBoost,5.855773642892018,9.293979945585562,0.38101663477036574
