City,Model,model_key,MAE,RMSE,R2,Tuned
sj,Linear Regression,linear_regression,12.461074213250432,22.119315141958747,0.40302665055989007,False
sj,Ridge (L2),ridge,12.073899806621798,21.30947593572453,0.44593957671439355,False
sj,Lasso (L1),lasso,11.170604431660834,20.155436045515216,0.5043261731777795,False
sj,Elastic Net (L1+L2),elastic_net,11.280656948150954,20.221939788710362,0.5010497818196142,False
sj,Decision Tree,decision_tree,6.984369478303886,11.287285315090466,0.8445500462433424,True
sj,Random Forest,random_forest,6.935062202502007,11.823949434511045,0.829416618766497,True
sj,XGBoost,xgboost,6.713778104247718,11.226509792066958,0.8462195561688726,True
sj,LightGBM,lightgbm,6.668421842444151,10.485548886281931,0.865848995247335,True
iq,Linear Regression,linear_regression,6.151797860240496,11.472121409733209,0.056888621176213294,False
iq,Ridge (L2),ridge,6.187102484594243,11.657682981002381,0.026132220004254414,False
iq,Lasso (L1),lasso,5.866433292648106,10.752974201733958,0.17142328683429486,False
iq,Elastic Net (L1+L2),elastic_net,5.990774998721077,11.098246798925485,0.11735864418075082,False
iq,Decision Tree,decision_tree,5.314088805547874,8.203611466761016,0.5177350686647928,True
iq,Random Forest,random_forest,5.399598990093965,8.76542492936294,0.44941868973044086,True
iq,XGBoost,xgboost,5.855773642892018,9.293979945585562,0.38101663477036574,True
iq,LightGBM,lightgbm,5.714076893551795,8.92583664779261,0.42908246132971084,True
