Rank,Model,model_key,MAE,RMSE,R2
1,LightGBM,lightgbm,6.32909919394909,9.95900964036628,0.838668512628349
2,Random Forest,random_forest,6.389119726979147,10.835836032702993,0.8090095369846042
3,Decision Tree,decision_tree,6.390491905768415,10.297215741596922,0.8275248798852426
4,XGBoost,xgboost,6.408709851321247,10.579907742606611,0.8179248847679393
5,Lasso (L1),lasso,9.284676915567418,17.404360711736878,0.5072768319670267
6,Elastic Net (L1+L2),elastic_net,9.39981003279811,17.530681629573746,0.500098502644684
7,Ridge (L2),ridge,9.980816314345333,18.46506872434803,0.4453887319007662
8,Linear Regression,linear_regression,10.217775954402454,19.028874014895145,0.41100309358025944
